Cuisine Name,MenuItemID
Greek,1
Italian,2
Italian,3
Turkish,4
Greek,5
Italian,6
Italian,7
Turkish,8
Greek,9
Italian,10
Italian,11
Turkish,12
Greek,13
Italian,14
Italian,15
Turkish,16
Greek,17
Italian,18
Italian,19
Turkish,20
Greek,21
Italian,22
Italian,23
Turkish,24
Greek,25
Italian,26
Italian,27
Turkish,28
Greek,29
Italian,30
Italian,31
Turkish,32
Greek,33
Italian,34
Italian,35
Turkish,36
Greek,37
Italian,38
Italian,39
Turkish,40
Greek,41
Italian,42
Italian,43
Turkish,44
Greek,45
Italian,46
Italian,47
Turkish,48
Greek,49
Italian,50
Italian,51
Turkish,52
Greek,53
Italian,54
Italian,55
Turkish,56
Greek,57
Italian,58
Italian,59
Turkish,60
Greek,61
Italian,62
Italian,63
Turkish,64
Greek,65
Italian,66
Italian,67
Turkish,68
Greek,69
Italian,70
Italian,71
Turkish,72
Greek,73
Italian,74
Italian,75
Turkish,76
Greek,77
Italian,78
Italian,79
Turkish,80
Greek,81
Italian,82
Italian,83
Turkish,84
Greek,85
Italian,86
Italian,87
Turkish,88
Greek,89
Italian,90
Italian,91
Turkish,92
Greek,93
Italian,94
Italian,95
Turkish,96
Greek,97
Italian,98
Italian,99
Turkish,100
Greek,101
Italian,102
Italian,103
Turkish,104
Greek,105
Italian,106
Italian,107
Turkish,108
Greek,109
Italian,110
Italian,111
Turkish,112
Greek,113
Italian,114
Italian,115
Turkish,116
Greek,117
Italian,118
Italian,119
Turkish,120
Greek,121
Italian,122
Italian,123
Turkish,124
Greek,125
Italian,126
Italian,127
Turkish,128
Greek,129
Italian,130
Italian,131
Turkish,132
Greek,133
Italian,134
Italian,135
Turkish,136
Greek,137
Italian,138
Italian,139
Turkish,140
Greek,141
Italian,142
Italian,143
Turkish,144
Greek,145
Italian,146
Italian,147
Turkish,148
Greek,149
Italian,150
Italian,151
Turkish,152
Greek,153
Italian,154
Italian,155
Turkish,156
Greek,157
Italian,158
Italian,159
Turkish,160
Greek,161
Italian,162
Italian,163
Turkish,164
Greek,165
Italian,166
Italian,167
Turkish,168
Greek,169
Italian,170
Italian,171
Turkish,172
Greek,173
Italian,174
Italian,175
Turkish,176
Greek,177
Italian,178
Italian,179
Turkish,180
Greek,181
Italian,182
Italian,183
Turkish,184
Greek,185
Italian,186
Italian,187
Turkish,188
Greek,189
Italian,190
Italian,191
Turkish,192
Greek,193
Italian,194
Italian,195
Turkish,196
Greek,197
Italian,198
Italian,199
Turkish,200
Greek,201
Italian,202
Italian,203
Turkish,204
Greek,205
Italian,206
Italian,207
Turkish,208
Greek,209
Italian,210
Italian,211
Turkish,212
Greek,213
Italian,214
Italian,215
Turkish,216
Greek,217
Italian,218
Italian,219
Turkish,220
Greek,221
Italian,222
Italian,223
Turkish,224
Greek,225
Italian,226
Italian,227
Turkish,228
Greek,229
Italian,230
Italian,231
Turkish,232
Greek,233
Italian,234
Italian,235
Turkish,236
Greek,237
Italian,238
Italian,239
Turkish,240
Greek,241
Italian,242
Italian,243
Turkish,244
Greek,245
Italian,246
Italian,247
Turkish,248
Greek,249
Italian,250
Italian,251
Turkish,252
Greek,253
Italian,254
Italian,255
Turkish,256
Greek,257
Italian,258
Italian,259
Turkish,260
Greek,261
Italian,262
Italian,263
Turkish,264
Greek,265
Italian,266
Italian,267
Turkish,268
Greek,269
Italian,270
Italian,271
Turkish,272
Greek,273
Italian,274
Italian,275
Turkish,276
Greek,277
Italian,278
Italian,279
Turkish,280
Greek,281
Italian,282
Italian,283
Turkish,284
Greek,285
Italian,286
Italian,287
Turkish,288
Greek,289
Italian,290
Italian,291
Turkish,292
Greek,293
Italian,294
Italian,295
Turkish,296
Greek,297
Italian,298
Italian,299
Turkish,300
Greek,301
Italian,302
Italian,303
Turkish,304
Greek,305
Italian,306
Italian,307
Turkish,308
Greek,309
Italian,310
Italian,311
Turkish,312
Greek,313
Italian,314
Italian,315
Turkish,316
Greek,317
Italian,318
Italian,319
Turkish,320
Greek,321
Italian,322
Italian,323
Turkish,324
Greek,325
Italian,326
Italian,327
Turkish,328
Greek,329
Italian,330
Italian,331
Turkish,332
Greek,333
Italian,334
Italian,335
Turkish,336
Greek,337
Italian,338
Italian,339
Turkish,340
Greek,341
Italian,342
Italian,343
Turkish,344
Greek,345
Italian,346
Italian,347
Turkish,348
Greek,349
Italian,350
Italian,351
Turkish,352
Greek,353
Italian,354
Italian,355
Turkish,356
Greek,357
Italian,358
Italian,359
Turkish,360
Greek,361
Italian,362
Italian,363
Turkish,364
Greek,365
Italian,366
Italian,367
Turkish,368
Greek,369
Italian,370
Italian,371
Turkish,372
Greek,373
Italian,374
Italian,375
Turkish,376
Greek,377
Italian,378
Italian,379
Turkish,380
Greek,381
Italian,382
Italian,383
Turkish,384
Greek,385
Italian,386
Italian,387
Turkish,388
Greek,389
Italian,390
Italian,391
Turkish,392
Greek,393
Italian,394
Italian,395
Turkish,396
Greek,397
Italian,398
Italian,399
Turkish,400
Greek,401
Italian,402
Italian,403
Turkish,404
Greek,405
Italian,406
Italian,407
Turkish,408
Greek,409
Italian,410
Italian,411
Turkish,412
Greek,413
Italian,414
Italian,415
Turkish,416
Greek,417
Italian,418
Italian,419
Turkish,420
Greek,421
Italian,422
Italian,423
Turkish,424
Greek,425
Italian,426
Italian,427
Turkish,428
Greek,429
Italian,430
Italian,431
Turkish,432
Greek,433
Italian,434
Italian,435
Turkish,436
Greek,437
Italian,438
Italian,439
Turkish,440
Greek,441
Italian,442
Italian,443
Turkish,444
Greek,445
Italian,446
Italian,447
Turkish,448
Greek,449
Italian,450
Italian,451
Turkish,452
Greek,453
Italian,454
Italian,455
Turkish,456
Greek,457
Italian,458
Italian,459
Turkish,460
Greek,461
Italian,462
Italian,463
Turkish,464
Greek,465
Italian,466
Italian,467
Turkish,468
Greek,469
Italian,470
Italian,471
Turkish,472
Greek,473
Italian,474
Italian,475
Turkish,476
Greek,477
Italian,478
Italian,479
Turkish,480
Greek,481
Italian,482
Italian,483
Turkish,484
Greek,485
Italian,486
Italian,487
Turkish,488
Greek,489
Italian,490
Italian,491
Turkish,492
Greek,493
Italian,494
Italian,495
Turkish,496
Greek,497
Italian,498
Italian,499
Turkish,500
Greek,501
Italian,502
Italian,503
Turkish,504
Greek,505
Italian,506
Italian,507
Turkish,508
Greek,509
Italian,510
Italian,511
